Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Physical exercise,Calories
27.82,Female,69.65,1.58,181.95,135.54,50.02,1.49,1607.86,Strength,29.11536683886351,1.99,2.99,1.99,27.9,1.0,1654.0
31.65,Male,97.96,1.96,188.96,136.44,49.98,1.35,1783.48,HIIT,22.686798953294037,3.4,3.01,2.01,25.5,1.01,2547.0
39.28,Female,85.84,1.82,190.79,159.82,72.1,1.96,1531.15,Yoga,26.75028281411318,3.48,5.0,3.02,25.91,3.0,2374.0
36.83,Male,55.74,1.57,181.84,122.8,53.16,0.96,845.57,Cardio,25.666583478053372,2.39,2.01,1.01,22.61,1.01,1612.0
52.35,Female,47.92,1.76,164.14,148.8,74.09,1.07,1415.93,HIIT,15.864811640924243,1.51,4.0,2.03,15.47,-0.0,1260.0
18.0,Female,63.71,1.63,162.46,119.42,73.1,0.66,652.81,Strength,22.894681902192847,2.22,3.0,1.0,23.98,-0.01,1803.0
18.0,Female,61.95,1.59,189.79,161.94,50.01,1.23,1329.51,Strength,28.510996786875,2.21,4.03,2.01,24.5,0.02,1744.0
43.44,Female,42.59,1.66,173.13,133.96,53.11,0.73,641.82,Cardio,18.09413278590694,1.89,1.96,1.0,15.46,0.02,1165.0
31.04,Female,87.31,1.69,184.84,130.13,64.78,1.73,1800.58,Cardio,32.857453537341044,3.51,4.0,3.01,30.57,4.0,2553.0
36.68,Male,76.45,1.82,192.69,120.79,49.94,1.5,1438.8,Cardio,24.79611117462171,2.79,4.0,1.99,23.08,0.0,2186.0
19.26,Male,127.5,1.93,185.14,168.43,69.9,1.27,1371.6,Strength,34.85024055954605,3.0,4.03,2.0,34.23,-0.02,3262.0
24.45,Female,59.11,1.76,188.87,129.87,73.08,0.65,572.0,Cardio,23.29472160655357,1.68,2.99,1.0,19.08,4.01,1847.0
41.08,Female,83.06,1.66,176.99,139.18,74.1,1.97,1536.6,Yoga,27.59074719609224,3.5,4.99,3.0,30.14,2.0,2521.0
41.84,Male,59.42,1.74,195.23,141.1,52.06,1.77,2536.94,HIIT,17.810082552414418,2.68,5.01,3.03,19.63,-0.01,1515.0
28.1,Male,79.92,1.59,180.67,129.91,53.98,1.49,1611.88,Strength,30.00020101335753,1.49,3.02,2.02,31.61,-0.0,2302.0
53.04,Male,55.38,1.55,171.13,140.7,53.95,1.12,1208.59,Strength,25.248777926765776,1.79,4.02,1.99,23.05,0.0,1488.0
42.84,Male,65.9,1.85,169.8,120.64,58.0,1.18,1037.46,Cardio,26.00267101334976,3.2,2.05,1.0,19.25,0.98,1554.0
26.93,Female,103.96,1.68,162.23,135.24,62.35,1.28,1689.6,HIIT,35.0,3.48,2.97,2.0,36.83,1.99,2856.0
42.79,Female,83.01,1.95,181.09,160.4,70.17,1.9,2217.87,Strength,23.212655344390825,3.48,5.02,2.97,21.83,0.0,2507.0
40.26,Male,63.07,1.52,196.93,143.03,73.05,1.94,2772.07,HIIT,29.515686655585544,2.71,5.01,2.99,27.3,2.99,1989.0
40.86,Female,43.88,1.77,182.32,166.02,57.96,1.18,777.38,Yoga,17.591982823916535,1.61,3.0,1.0,14.01,-0.0,1196.0
18.84,Female,73.38,1.79,177.48,124.54,60.8,0.81,980.99,HIIT,28.55015178043905,1.59,2.97,1.01,22.9,0.01,2193.0
29.71,Male,50.77,1.74,173.84,150.41,63.89,1.08,776.95,Yoga,20.497749444845237,1.99,3.02,1.99,16.77,-0.02,1358.0
51.8,Female,70.58,1.72,193.85,142.22,65.97,1.32,1429.16,Strength,27.81754754640548,2.6,2.99,2.03,23.86,-0.02,1891.0
32.15,Female,61.36,1.63,189.81,160.8,58.06,1.66,1725.07,Cardio,23.751658278313098,2.7,5.0,2.99,23.09,0.01,1777.0
21.71,Male,51.04,1.59,197.02,138.86,66.14,1.28,1229.82,Cardio,24.35065403957215,1.82,2.98,2.01,20.19,-0.0,1557.0
44.87,Male,50.86,1.64,170.22,136.52,50.09,1.45,1274.84,Cardio,22.235403601433582,2.29,2.01,1.0,18.91,0.0,1284.0
34.49,Female,66.23,1.62,198.8,164.2,56.01,0.8,704.64,Cardio,27.411082440150047,2.21,2.0,1.01,25.24,0.01,1673.0
57.7,Male,108.35,1.91,197.71,155.94,55.79,1.49,1963.52,HIIT,29.391008211715793,2.21,3.0,1.98,29.7,0.0,2998.0
44.98,Male,48.24,1.64,168.13,159.66,66.99,1.25,1651.38,HIIT,19.616018476129266,2.52,3.99,2.01,17.94,0.03,1397.0
25.23,Male,64.55,1.71,178.58,166.84,60.98,1.13,745.8,Yoga,25.214840718906544,1.8,3.0,1.0,22.08,-0.01,1940.0
37.2,Male,55.18,1.57,169.89,149.85,61.98,1.32,1598.65,HIIT,23.586659732459438,2.36,3.01,1.01,22.39,0.03,1407.0
54.34,Male,49.85,1.61,187.99,157.01,67.17,1.47,969.32,Yoga,22.950375152430496,2.69,2.01,1.0,19.23,1.01,1362.0
35.61,Male,69.16,1.65,165.07,125.87,65.02,1.22,1474.86,HIIT,28.79815431535499,2.7,3.01,1.0,25.4,0.01,1874.0
18.0,Male,73.24,1.55,171.82,125.16,55.98,0.83,822.45,Strength,32.29058530769085,2.01,3.02,1.01,30.48,-0.02,1899.0
48.33,Male,69.61,1.74,159.9,166.93,58.11,1.48,1597.07,Strength,22.68501495049533,2.3,2.99,1.99,22.99,3.97,1933.0
36.68,Male,103.35,1.89,174.59,167.58,57.07,0.54,475.63,Cardio,29.325957215121825,3.12,2.0,1.01,28.93,1.02,2743.0
31.98,Female,48.98,1.62,166.61,157.99,74.1,1.18,848.18,Yoga,23.837984433943888,2.51,3.0,1.98,18.66,0.03,1118.0
30.05,Male,60.93,1.55,171.86,120.19,51.89,1.29,1238.4,Cardio,24.312648723932238,1.57,3.02,2.0,25.36,0.01,1768.0
24.17,Male,60.17,1.79,170.19,165.44,62.85,1.98,2320.16,Strength,21.8572892727234,2.7,4.01,3.02,18.78,-0.02,1875.0
56.32,Male,58.92,1.56,182.55,154.98,57.06,1.27,1220.22,Cardio,25.14866489530591,2.58,4.02,2.01,24.21,0.03,1718.0
27.75,Male,86.88,1.76,196.86,120.81,59.99,1.2,1298.16,Strength,27.61206276924243,3.5,2.99,2.02,28.05,1.99,2356.0
24.62,Male,76.82,1.96,179.82,119.98,58.85,0.67,663.9,Strength,21.874514581713328,2.27,3.02,1.01,20.0,-0.01,2121.0
41.87,Female,76.41,1.97,165.03,157.13,65.07,1.14,1507.31,HIIT,22.65707080257607,2.6,2.99,2.02,19.69,0.02,1848.0
33.65,Male,111.86,1.85,162.12,133.77,66.24,1.19,1568.18,HIIT,34.430421954285926,3.6,3.98,1.98,32.68,0.99,3028.0
18.0,Male,125.92,1.67,171.97,152.64,59.9,1.47,1057.52,Yoga,35.0,2.2,3.01,1.99,45.15,0.01,3318.0
31.6,Female,126.58,1.83,197.89,146.34,62.03,1.1,1057.76,Cardio,35.0,2.09,3.03,2.02,37.8,0.01,3280.0
39.66,Female,69.42,1.55,170.83,162.91,74.18,0.86,1039.65,HIIT,29.87097028589763,1.51,2.97,1.0,28.89,-0.02,1908.0
43.04,Female,55.5,1.73,166.85,164.53,62.1,1.67,2388.1,HIIT,17.17423654742694,2.69,4.99,3.0,18.54,0.98,1610.0
56.54,Male,81.84,1.86,162.12,145.03,69.74,1.81,1412.89,Yoga,22.490110306385006,3.49,5.01,3.01,23.66,-0.0,2299.0
38.34,Male,70.54,1.52,163.91,144.03,65.73,1.19,1141.45,Cardio,30.855302819324088,2.01,3.96,1.99,30.53,0.01,1953.0
56.18,Male,88.72,1.68,176.0,152.1,65.17,1.77,2069.31,Strength,31.55348662514595,3.51,5.0,2.99,31.43,0.01,2612.0
46.5,Female,39.54,1.76,173.47,131.89,63.2,0.8,528.96,Yoga,21.729728829736104,2.2,2.99,1.02,12.76,-0.02,1168.0
25.03,Male,104.59,1.88,173.56,155.83,66.97,1.34,1767.33,HIIT,27.14649644228736,2.32,2.97,1.99,29.59,0.02,2716.0
45.06,Female,90.27,1.81,177.87,153.16,70.19,1.69,1757.6,Cardio,27.746577526217532,3.5,4.99,3.0,27.55,-0.01,2377.0
19.13,Female,85.25,1.85,195.1,156.29,62.01,1.66,2370.15,HIIT,25.91788592877635,3.51,3.98,2.98,24.91,0.01,2474.0
52.07,Male,82.05,1.72,166.31,137.24,53.1,1.02,735.01,Yoga,28.568719661760205,2.69,4.04,2.01,27.73,0.0,2350.0
20.32,Female,75.91,1.62,168.36,131.84,50.82,1.35,971.19,Yoga,26.49629014385762,2.59,3.99,1.99,28.92,0.94,2219.0
35.26,Female,44.6,1.62,196.02,156.77,64.73,0.55,484.88,Cardio,19.65254706986981,2.01,1.99,1.02,16.99,-0.04,1220.0
30.43,Female,78.63,1.77,165.58,130.1,61.84,1.41,1521.53,Strength,29.466056934523856,2.59,3.96,1.99,25.1,-0.01,2255.0
55.09,Female,62.58,1.86,198.14,144.12,53.0,1.35,972.81,Yoga,25.554039648273232,2.89,3.98,2.01,18.09,0.0,1712.0
33.5,Male,45.38,1.89,192.7,143.87,49.93,1.45,1566.0,Strength,18.401208861788014,2.91,3.01,2.0,12.7,-0.06,1283.0
23.2,Male,59.88,1.78,184.91,140.9,58.36,1.66,1943.69,Strength,20.9665136224532,2.7,4.97,3.01,18.9,-0.02,1715.0
31.91,Female,83.75,1.74,195.17,126.72,62.89,1.44,1424.3,Strength,30.076647876495652,2.11,3.02,1.0,27.66,-0.01,2289.0
29.9,Female,121.76,2.0,179.41,160.18,60.25,1.24,892.8,Yoga,32.643494464030525,3.32,3.99,2.0,30.44,0.01,3253.0
32.74,Male,63.71,1.63,186.02,120.2,73.86,1.58,1640.67,Cardio,24.039963555507427,2.7,5.03,2.98,23.98,-0.0,1904.0
33.09,Male,74.29,1.76,191.86,144.68,66.18,1.15,1101.24,Cardio,24.717915069012637,1.52,4.01,1.97,23.98,0.03,2008.0
53.6,Male,46.6,1.5,174.96,164.79,58.03,1.38,1669.8,HIIT,21.434049437320333,1.99,1.98,1.0,20.71,1.01,1024.0
45.94,Female,59.8,1.65,175.03,136.83,68.88,1.69,2420.42,HIIT,22.60192896377397,2.69,3.98,3.02,21.97,1.04,1720.0
38.84,Male,59.09,1.83,169.92,153.93,59.12,1.34,1445.99,Strength,24.286851516757633,2.3,4.0,1.99,17.64,0.0,1629.0
18.72,Female,48.36,1.52,185.94,135.81,55.91,0.96,632.45,Yoga,21.674119417102172,1.6,2.0,1.0,20.93,0.03,1403.0
36.05,Female,59.24,1.78,184.44,120.57,60.17,0.85,839.97,Strength,21.18991442078001,2.2,1.99,1.0,18.7,2.03,1577.0
54.91,Female,71.37,1.62,165.92,162.14,67.98,0.55,484.88,Cardio,29.57335033813755,1.8,2.99,1.02,27.19,0.03,1947.0
54.71,Female,86.51,1.77,176.17,156.96,61.06,0.99,948.82,Cardio,30.553933480030782,2.8,2.97,1.98,27.61,0.0,2284.0
57.66,Male,51.68,1.79,173.1,169.08,52.07,1.12,1105.78,Strength,17.161168555733173,2.99,3.0,1.0,16.13,-0.01,1573.0
51.24,Female,48.89,1.77,198.89,155.36,74.23,1.48,1785.92,HIIT,16.93353220357163,3.5,1.98,1.0,15.61,3.98,1350.0
22.17,Female,62.01,1.52,169.12,165.74,60.94,1.83,1906.13,Cardio,25.10290685622519,2.71,5.01,3.02,26.84,1.02,1855.0
49.74,Female,56.86,1.6,195.57,139.98,60.9,1.88,1956.7,Cardio,25.36266585344017,2.69,4.99,3.01,22.21,-0.01,1758.0
56.78,Male,121.89,1.89,164.71,134.29,58.23,1.13,1369.79,HIIT,27.593896503556053,3.62,2.99,1.02,34.12,0.04,3328.0
23.19,Female,78.95,1.73,192.25,155.96,56.18,1.46,1052.08,Yoga,28.841639481982366,1.5,4.01,2.01,26.38,-0.0,2238.0
38.98,Female,60.8,1.65,162.06,167.22,62.81,0.92,1114.21,HIIT,21.570830699663492,1.7,3.0,1.01,22.33,0.03,1482.0
59.47,Female,42.12,1.65,172.46,131.56,59.07,1.22,1474.86,HIIT,19.789305779989036,2.2,2.02,1.0,15.47,0.03,1248.0
51.19,Male,48.99,1.61,191.33,129.35,55.11,1.37,1206.7,Cardio,24.681988584025053,2.9,1.99,1.01,18.9,-0.0,1367.0
39.86,Female,57.21,1.71,167.9,142.95,60.93,1.88,1955.2,Cardio,20.332479317594117,2.7,5.0,3.0,19.56,0.02,1569.0
33.2,Male,45.83,1.89,193.08,144.1,50.0,1.46,1396.93,Cardio,17.474801998322935,2.89,3.01,1.96,12.83,-0.03,1266.0
57.99,Female,109.25,1.91,197.82,156.0,55.93,1.48,1955.23,HIIT,33.76834770881026,2.21,3.01,2.01,29.95,-0.0,2970.0
57.26,Female,75.59,1.67,186.02,153.49,65.04,1.06,1143.85,Strength,29.27273265920953,1.79,3.01,1.99,27.1,0.02,2275.0
49.89,Female,56.16,1.6,195.84,140.38,61.12,1.9,1482.0,Yoga,23.77393536207603,2.69,5.01,3.0,21.94,0.03,1643.0
39.76,Male,77.16,1.92,179.27,137.32,68.13,1.12,807.74,Yoga,23.126742309560065,3.69,3.98,2.02,20.93,-0.01,2174.0
22.71,Female,60.76,1.59,190.75,122.44,52.26,1.8,2572.02,HIIT,24.282265031805817,2.71,3.99,2.99,24.03,-0.02,1776.0
46.63,Female,97.77,1.9,199.36,147.85,64.02,0.76,753.08,Strength,28.581743039123744,3.02,2.99,1.01,27.08,0.01,2602.0
50.02,Female,50.85,1.69,161.9,155.48,60.08,1.31,1155.94,Cardio,26.00254949351363,2.98,2.01,1.03,17.8,-0.01,1370.0
47.8,Female,129.94,1.61,193.04,167.04,61.99,1.06,1018.45,Cardio,35.0,2.9,4.01,2.01,50.13,0.99,3517.0
41.29,Male,43.46,1.77,182.02,164.8,57.96,1.19,785.4,Yoga,19.151512247765815,1.57,3.01,1.0,13.87,0.01,1111.0
45.04,Male,52.35,1.88,193.87,152.82,71.02,1.08,1166.4,Strength,18.795121467986707,2.89,4.0,2.0,14.81,2.99,1463.0
20.07,Male,76.06,1.78,197.12,133.9,52.99,1.42,1534.88,Strength,23.97783273708972,2.0,3.98,2.01,24.01,-0.01,2015.0
36.18,Female,48.3,1.68,193.67,143.74,55.79,1.23,1488.3,HIIT,21.96231551741904,1.61,2.97,1.0,17.11,0.98,1454.0
39.24,Female,102.73,1.93,191.76,134.16,49.98,0.88,1064.8,HIIT,29.270811988849925,2.41,2.95,1.0,27.58,-0.01,2740.0
31.48,Female,85.66,1.6,176.15,144.6,60.13,1.98,2318.38,Strength,31.104871547118627,3.49,5.03,3.01,33.46,-0.02,2545.0
22.23,Female,70.9,1.77,196.9,157.96,56.04,1.49,1313.58,Cardio,26.298449840861252,1.79,3.0,1.02,22.63,-0.01,1784.0
30.22,Female,77.7,1.77,166.17,129.77,62.13,1.42,1533.6,Strength,26.83176420153907,2.59,4.02,2.0,24.8,-0.04,2023.0
42.41,Female,45.62,1.6,166.13,163.14,64.1,1.31,940.84,Yoga,22.841146985477486,2.6,2.98,1.97,17.82,-0.01,1183.0
41.14,Male,82.23,1.87,166.83,127.94,58.85,1.87,2672.04,HIIT,20.323359124125954,3.53,5.02,2.99,23.52,-0.0,2235.0
51.84,Female,104.67,1.99,187.02,129.92,67.23,0.93,818.4,Cardio,28.597247906051894,2.0,2.04,1.0,26.43,1.04,2852.0
36.61,Male,72.26,1.76,192.09,121.06,51.79,1.21,871.93,Yoga,21.344257565462577,1.9,3.01,2.01,23.33,1.0,2042.0
38.76,Male,58.97,1.93,165.23,136.18,57.79,1.36,1793.7,HIIT,17.548884430536287,3.69,4.0,1.99,15.83,0.02,1747.0
23.13,Male,88.11,1.91,163.9,128.51,58.03,1.87,1459.72,Yoga,24.95309190483056,3.51,5.01,3.01,24.15,-0.03,2398.0
20.91,Male,88.68,1.6,197.96,121.14,67.03,1.71,2000.7,Strength,32.12223263028033,3.51,4.03,3.0,34.64,-0.03,2702.0
41.85,Female,58.0,1.57,166.54,121.99,51.86,1.82,1417.42,Yoga,24.42791341720758,2.73,4.01,2.98,23.53,0.02,1616.0
44.81,Male,59.75,1.51,168.99,142.97,65.16,1.15,828.69,Yoga,26.62839345889526,1.9,3.98,2.01,26.2,0.01,1596.0
52.17,Male,85.82,1.81,190.16,136.31,65.95,1.71,1334.83,Yoga,28.99901520901578,3.5,5.02,3.01,26.2,0.02,2262.0
36.56,Female,75.59,1.77,179.86,127.73,57.04,1.36,978.38,Yoga,26.333461177338716,2.09,3.98,1.99,24.13,-0.03,2120.0
31.29,Female,53.09,1.76,171.96,133.46,68.71,1.21,1595.87,HIIT,20.305398615899325,1.79,3.97,1.99,17.14,0.99,1514.0
45.59,Female,109.53,1.64,184.93,169.08,62.71,1.39,1686.49,HIIT,35.0,3.41,3.0,1.03,40.72,0.03,2862.0
53.16,Female,93.36,1.94,176.77,137.81,49.72,0.89,1074.94,HIIT,23.97980036150932,3.52,2.98,1.0,24.81,0.01,2601.0
30.15,Male,60.72,1.55,172.11,119.62,52.18,1.3,937.56,Yoga,26.245025648935446,1.59,3.02,2.02,25.27,-0.0,1718.0
20.87,Female,101.44,1.84,181.14,132.0,50.04,1.3,1144.0,Cardio,30.416739137755695,3.3,2.02,1.0,29.96,-0.01,2581.0
29.1,Female,86.93,1.85,176.95,123.09,72.0,1.53,1589.98,Cardio,28.463731419704725,3.5,4.0,2.99,25.4,-0.01,2373.0
32.05,Female,82.99,1.74,195.13,126.91,62.96,1.45,957.87,Yoga,29.319511359407883,2.11,2.98,1.01,27.41,0.02,2181.0
